# Generation	ratio_optimal	mean_fitness
0	0.03155	23.0114
1	0.03348	23.3164
2	0.03569	23.3564
3	0.03589	23.4034
4	0.03665	23.4005
5	0.03631	23.4178
6	0.03628	23.3978
7	0.03771	23.4314
8	0.03708	23.4386
9	0.0362	23.4421
10	0.03656	23.4568
11	0.03541	23.4371
12	0.03643	23.4352
13	0.03619	23.448
14	0.03646	23.425
15	0.03613	23.4246
16	0.0362	23.4366
17	0.03706	23.4449
18	0.03698	23.4545
19	0.03703	23.461
20	0.03745	23.4758
21	0.0375	23.4828
22	0.03808	23.4792
23	0.03722	23.4983
24	0.03837	23.4968
25	0.03697	23.4724
26	0.0373	23.4873
27	0.03732	23.487
28	0.03783	23.5008
29	0.03662	23.4917
30	0.03776	23.5065
31	0.03613	23.4793
32	0.03755	23.4808
33	0.03748	23.4885
34	0.03663	23.5162
35	0.03694	23.5092
36	0.03827	23.5054
37	0.03841	23.5227
38	0.03723	23.5136
39	0.03778	23.5351
40	0.03698	23.5393
41	0.03654	23.4984
42	0.03692	23.5263
43	0.03893	23.5389
44	0.03798	23.5416
45	0.0388	23.5322
46	0.03889	23.5554
47	0.03874	23.5677
48	0.0393	23.5837
49	0.03787	23.568
50	0.03753	23.5495
51	0.03804	23.5533
52	0.03754	23.5632
53	0.0378	23.5579
54	0.03811	23.5631
55	0.03796	23.5461
56	0.03726	23.5565
57	0.03791	23.5478
58	0.0376	23.5681
59	0.03799	23.5693
60	0.03889	23.5841
61	0.03814	23.5751
62	0.03809	23.5676
63	0.03863	23.571
64	0.03867	23.5679
65	0.03825	23.573
66	0.03852	23.5889
67	0.03859	23.5833
68	0.03907	23.5912
69	0.03846	23.5918
70	0.03912	23.5848
71	0.038	23.5939
72	0.03953	23.5874
73	0.03985	23.597
74	0.03925	23.6032
75	0.03945	23.6184
76	0.03972	23.6339
77	0.03978	23.6383
78	0.04127	23.6238
79	0.04102	23.63
80	0.0386	23.6288
81	0.03891	23.621
82	0.0405	23.6353
83	0.03946	23.6453
84	0.04014	23.6358
85	0.03934	23.651
86	0.03953	23.6399
87	0.03984	23.6556
88	0.03986	23.659
89	0.03978	23.6608
90	0.03866	23.6636
91	0.03981	23.6569
92	0.04058	23.6602
93	0.03941	23.6791
94	0.03885	23.6522
95	0.03951	23.6715
96	0.03925	23.6595
97	0.03963	23.6806
98	0.03917	23.699
99	0.03958	23.6903
100	0.04002	23.6966
101	0.04036	23.6945
102	0.03902	23.6989
103	0.04032	23.7194
104	0.03973	23.7078
105	0.03969	23.7123
106	0.04067	23.7229
107	0.03981	23.7309
108	0.04085	23.7103
109	0.0403	23.7134
110	0.04095	23.7255
111	0.04044	23.7166
112	0.0416	23.7065
113	0.04122	23.7344
114	0.03969	23.7449
115	0.04114	23.7481
116	0.04168	23.7696
117	0.04108	23.7471
118	0.04116	23.7833
119	0.04273	23.7917
120	0.04149	23.7758
121	0.04102	23.7741
122	0.04071	23.7758
123	0.04197	23.7921
124	0.04159	23.7752
125	0.04142	23.7874
126	0.0421	23.8004
127	0.04097	23.8136
128	0.0413	23.7929
129	0.04101	23.803
130	0.04148	23.8014
131	0.04159	23.8095
132	0.04106	23.8083
133	0.04203	23.8213
134	0.04076	23.8178
135	0.04285	23.8236
136	0.04194	23.8553
137	0.04107	23.8052
138	0.04158	23.8405
139	0.04248	23.8656
140	0.04165	23.8463
141	0.0433	23.8849
142	0.04271	23.873
143	0.04262	23.863
144	0.04373	23.8769
145	0.043	23.8713
146	0.04256	23.8562
147	0.04284	23.8893
148	0.04101	23.8865
149	0.04226	23.8874
150	0.04251	23.8914
151	0.04256	23.8938
152	0.04223	23.8697
153	0.04247	23.8922
154	0.0441	23.9257
155	0.04336	23.9213
156	0.04301	23.9129
157	0.04418	23.948
158	0.04401	23.9473
159	0.04416	23.9334
160	0.04408	23.9184
161	0.04381	23.9135
162	0.04208	23.8962
163	0.04392	23.9253
164	0.04358	23.9427
165	0.04423	23.9619
166	0.0447	23.9686
167	0.04383	23.946
168	0.0445	23.9549
169	0.0444	23.9778
170	0.04477	23.9787
171	0.04493	23.991
172	0.04409	24.0035
173	0.04486	24.0097
174	0.04396	24.0108
175	0.044	24.0023
176	0.04472	24.0009
177	0.04536	24.0392
178	0.04513	24.0322
179	0.04523	24.0492
180	0.04499	24.0477
181	0.04535	24.0538
182	0.04433	24.0697
183	0.04576	24.0379
184	0.04627	24.0824
185	0.04611	24.0694
186	0.04544	24.0919
187	0.04636	24.0933
188	0.0465	24.1118
189	0.04571	24.0689
190	0.04561	24.0651
191	0.04584	24.0846
192	0.0463	24.0846
193	0.04522	24.1027
194	0.04829	24.1224
195	0.04781	24.1374
196	0.04704	24.1411
197	0.04636	24.134
198	0.04602	24.1219
199	0.04614	24.1286
200	0.04536	24.1271
201	0.04582	24.1504
202	0.04729	24.1514
203	0.04695	24.133
204	0.04684	24.1451
205	0.04714	24.1525
206	0.04612	24.1533
207	0.04705	24.1722
208	0.04666	24.1681
209	0.04728	24.1884
210	0.0468	24.1918
211	0.04785	24.211
212	0.04686	24.207
213	0.0474	24.2142
214	0.04848	24.2261
215	0.04836	24.2277
216	0.04832	24.2337
217	0.04798	24.245
218	0.04756	24.2373
219	0.04823	24.2502
220	0.04771	24.244
221	0.04914	24.2754
222	0.04922	24.2725
223	0.0493	24.2917
224	0.04848	24.2871
225	0.04846	24.2879
226	0.04858	24.2874
227	0.04938	24.2814
228	0.04911	24.2704
229	0.04767	24.2956
230	0.0494	24.3171
231	0.04995	24.3183
232	0.04953	24.3359
233	0.04969	24.3205
234	0.05008	24.3516
235	0.04969	24.3576
236	0.05048	24.3621
237	0.05021	24.3571
238	0.0505	24.3858
239	0.05016	24.3853
240	0.04973	24.4025
241	0.05103	24.3934
242	0.05151	24.3949
243	0.04957	24.406
244	0.05038	24.4221
245	0.05129	24.4203
246	0.05153	24.4117
247	0.05114	24.4324
248	0.05144	24.4336
249	0.05145	24.4576
250	0.05145	24.4587
251	0.05152	24.4588
252	0.05152	24.482
253	0.05166	24.4654
254	0.0515	24.4731
255	0.0522	24.4789
256	0.05151	24.4826
257	0.05248	24.5115
258	0.05333	24.5429
259	0.05299	24.5418
260	0.05252	24.5374
261	0.05296	24.5451
262	0.05381	24.537
263	0.05301	24.5341
264	0.05286	24.5372
265	0.05259	24.5429
266	0.05298	24.5586
267	0.05541	24.5714
268	0.0544	24.5741
269	0.05251	24.5782
270	0.05369	24.5756
271	0.05401	24.5921
272	0.05464	24.6171
