# Generation	ratio_optimal	mean_fitness
0	0.03083	23.0104
1	0.03457	23.3109
2	0.03548	23.3927
3	0.03693	23.4191
4	0.03622	23.4433
5	0.03603	23.437
6	0.03623	23.4477
7	0.03706	23.4369
8	0.03634	23.4402
9	0.03613	23.4606
10	0.03553	23.4347
11	0.03569	23.4455
12	0.03767	23.4611
13	0.0357	23.4487
14	0.03727	23.46
15	0.03733	23.472
16	0.03631	23.4613
17	0.03564	23.4461
18	0.03739	23.4715
19	0.03742	23.4697
20	0.03676	23.488
21	0.03691	23.4905
22	0.03748	23.478
23	0.03707	23.4759
24	0.03718	23.4633
25	0.03675	23.4545
26	0.0371	23.4879
27	0.03697	23.475
28	0.03767	23.4952
29	0.0365	23.5016
30	0.03794	23.4976
31	0.03788	23.5195
32	0.03781	23.534
33	0.03794	23.534
34	0.0381	23.5211
35	0.03717	23.5031
36	0.03756	23.5029
37	0.03717	23.5213
38	0.03823	23.5255
39	0.03744	23.5241
40	0.0386	23.5239
41	0.03812	23.5394
42	0.03856	23.5352
43	0.03816	23.5348
44	0.03721	23.5263
45	0.03684	23.5391
46	0.03882	23.5472
47	0.03687	23.5365
48	0.03836	23.5261
49	0.03705	23.5414
50	0.03805	23.5363
51	0.03809	23.5326
52	0.03841	23.5343
53	0.03794	23.5724
54	0.03859	23.5759
55	0.03901	23.5541
56	0.03785	23.5238
57	0.03791	23.5673
58	0.03924	23.5587
59	0.03839	23.5894
60	0.03809	23.5712
61	0.03797	23.5709
62	0.03814	23.5577
63	0.03908	23.5868
64	0.03916	23.5914
65	0.03754	23.5933
66	0.03767	23.6197
67	0.03886	23.6238
68	0.0388	23.5943
69	0.03903	23.599
70	0.03926	23.5865
71	0.039	23.5875
72	0.03941	23.5885
73	0.03816	23.6024
74	0.03985	23.612
75	0.03978	23.6352
76	0.03932	23.6178
77	0.03939	23.6351
78	0.03845	23.6098
79	0.03858	23.6113
80	0.03868	23.644
81	0.03866	23.6257
82	0.03881	23.6362
83	0.03794	23.6309
84	0.03981	23.6499
85	0.03848	23.6211
86	0.03995	23.656
87	0.03946	23.6824
88	0.04064	23.6644
89	0.04003	23.6574
90	0.03964	23.6403
91	0.03998	23.6803
92	0.03974	23.6745
93	0.03978	23.6736
94	0.03982	23.7121
95	0.04071	23.6825
96	0.04115	23.7
97	0.03998	23.7031
98	0.04014	23.7162
99	0.04065	23.7038
100	0.03983	23.6973
101	0.04058	23.7181
102	0.0405	23.684
103	0.03978	23.7012
104	0.04009	23.731
105	0.03997	23.7219
106	0.03991	23.7327
107	0.04028	23.7331
108	0.0416	23.7199
109	0.04053	23.715
110	0.04058	23.7006
111	0.04041	23.7263
112	0.04078	23.7455
113	0.04136	23.7679
114	0.04089	23.7334
115	0.03951	23.7331
116	0.0407	23.7628
117	0.04122	23.7482
118	0.04117	23.768
119	0.04078	23.7625
120	0.0421	23.7625
121	0.04029	23.7562
122	0.04167	23.7946
123	0.04123	23.7786
124	0.04152	23.7992
125	0.04159	23.8053
126	0.04191	23.7798
127	0.04128	23.8097
128	0.0428	23.8337
129	0.0413	23.82
130	0.0416	23.8256
131	0.04204	23.812
132	0.0422	23.8252
133	0.04164	23.8072
134	0.04172	23.8161
135	0.04194	23.8176
136	0.04194	23.8536
137	0.04324	23.8395
138	0.04283	23.8381
139	0.04142	23.8439
140	0.04191	23.8472
141	0.04124	23.8513
142	0.04193	23.8309
143	0.04336	23.8696
144	0.04258	23.8753
145	0.04254	23.8765
146	0.04355	23.8844
147	0.04231	23.8771
148	0.04307	23.8921
149	0.04224	23.9169
150	0.04274	23.8823
151	0.04426	23.8971
152	0.04238	23.8927
153	0.04286	23.8995
154	0.04297	23.9149
155	0.04262	23.9097
156	0.04236	23.8874
157	0.04386	23.8998
158	0.04218	23.9261
159	0.04354	23.9294
