# Generation	ratio_optimal	mean_fitness
0	0.030960	15.519
1	0.04271	17.955
2	0.038292	16.5179
3	0.043343	17.6153
4	0.040954	16.8693
5	0.043155	17.4823
6	0.0426	17.0587
7	0.043647	17.436
8	0.042378	17.13
9	0.041989	17.322
10	0.0425110	17.2438
11	0.0421311	17.2959
12	0.0424212	17.2544
13	0.0423713	17.3108
14	0.0429914	17.3085
15	0.0427415	17.3338
16	0.0429316	17.3113
17	0.043117	17.359
18	0.0425518	17.2965
19	0.0433119	17.3916
20	0.0433120	17.3377
21	0.0445221	17.4194
22	0.0422122	17.3595
23	0.0438923	17.4193
24	0.0429624	17.4239
25	0.0433225	17.4034
26	0.0431926	17.4351
27	0.0435227	17.3929
28	0.0438628	17.4335
29	0.0436329	17.4198
30	0.0441730	17.4845
31	0.0440231	17.4487
32	0.0436432	17.4733
33	0.0448733	17.5137
34	0.044334	17.5286
35	0.0444135	17.4856
36	0.045136	17.5208
37	0.0448837	17.498
38	0.045638	17.5675
39	0.044939	17.5782
40	0.0450540	17.5533
41	0.0455741	17.612
42	0.0448242	17.5473
43	0.0445343	17.5878
44	0.0448544	17.6236
45	0.0440345	17.6185
46	0.0447946	17.5865
47	0.0451247	17.6837
48	0.0456148	17.6606
49	0.0450849	17.6506
50	0.0444850	17.623
51	0.0457651	17.7053
52	0.0447252	17.6321
53	0.045653	17.7332
54	0.0455154	17.6768
55	0.0460255	17.765
56	0.0458256	17.6414
57	0.0457357	17.7826
58	0.0452858	17.7147
59	0.0454159	17.7818
60	0.0470560	17.857
61	0.0459161	17.7714
62	0.0465762	17.8301
63	0.0461363	17.7914
64	0.0466964	17.8579
65	0.0464665	17.8322
66	0.047866	17.8263
67	0.0469667	17.8281
68	0.0463468	17.8262
69	0.0466669	17.85
70	0.0463670	17.9038
71	0.0477271	17.887
72	0.0492272	17.9435
73	0.049273	17.9116
74	0.0486174	17.9395
75	0.0486875	17.9527
76	0.0481376	17.9646
77	0.047677	17.9121
78	0.0477378	18.0202
79	0.0479279	17.9175
80	0.0475880	17.9636
81	0.0485281	17.9911
82	0.048482	17.9981
83	0.0486483	18.0705
84	0.0476184	18.0343
85	0.04785	18.1014
86	0.0480886	18.0169
87	0.0480587	18.0933
88	0.0493388	18.0837
89	0.0488489	18.0791
90	0.0492890	18.0879
91	0.0488891	18.164
92	0.0500892	18.1378
93	0.0488893	18.1958
94	0.0490894	18.1858
95	0.0493395	18.1939
96	0.0494296	18.2016
97	0.0488997	18.1701
98	0.0505998	18.2601
99	0.0497499	18.1939
100	0.04924100	18.2516
101	0.04948101	18.2526
102	0.04964102	18.2858
103	0.04985103	18.284
104	0.05066104	18.2869
105	0.0506105	18.3585
106	0.05139106	18.4177
107	0.05056107	18.2924
108	0.04982108	18.3656
109	0.05141109	18.353
110	0.0515110	18.4327
111	0.05034111	18.3466
112	0.05019112	18.3986
113	0.05014113	18.4073
114	0.05088114	18.4673
115	0.05197115	18.4553
116	0.05246116	18.4849
117	0.05165117	18.4296
118	0.05174118	18.5192
119	0.05147119	18.5146
120	0.05148120	18.4903
121	0.0517121	18.572
122	0.05185122	18.5303
123	0.052123	18.6126
124	0.05234124	18.6027
125	0.05182125	18.6045
126	0.05209126	18.6354
127	0.05334127	18.6252
128	0.0527128	18.6485
129	0.0528129	18.6903
130	0.05207130	18.6371
131	0.05277131	18.7094
132	0.05305132	18.6751
133	0.05299133	18.7427
134	0.05397134	18.7514
135	0.05324135	18.7356
136	0.05416136	18.7635
137	0.0537137	18.7682
138	0.05404138	18.7532
139	0.05503139	18.8452
140	0.05458140	18.826
141	0.05393141	18.833
142	0.0546142	18.8659
143	0.05474143	18.8049
144	0.05423144	18.9155
145	0.0543145	18.8924
146	0.05442146	18.8944
147	0.05626147	18.9669
148	0.05607148	18.9281
149	0.05576149	18.976
150	0.05532150	18.9375
151	0.05597151	19.0198
152	0.05653152	19.0145
153	0.05593153	19.0791
154	0.05676154	19.0007
155	0.05666155	19.0968
156	0.05605156	19.1068
157	0.05658157	19.0965
158	0.05609158	19.1337
159	0.05612159	19.1037
160	0.05585160	19.1424
161	0.0557161	19.1292
162	0.05622162	19.2039
163	0.05662163	19.1946
164	0.05662164	19.2292
165	0.05662165	19.2674
166	0.05647166	19.2291
167	0.05688167	19.2532
168	0.05835168	19.3296
169	0.05691169	19.2855
170	0.05754170	19.3361
171	0.05764171	19.3267
172	0.05797172	19.3536
173	0.05902173	19.3796
174	0.05969174	19.4371
175	0.06041175	19.4313
176	0.06121176	19.4536
177	0.06094177	19.4522
178	0.06038178	19.4733
179	0.06049179	19.4902
180	0.05956180	19.545
181	0.05944181	19.5046
182	0.05962182	19.5497
183	0.06099183	19.5806
184	0.06081184	19.6063
185	0.0614185	19.6209
186	0.06187186	19.6203
187	0.06213187	19.637
188	0.06183188	19.6897
189	0.06181189	19.6766
190	0.0627190	19.7285
191	0.06153191	19.7109
192	0.06166192	19.7624
193	0.06218193	19.7382
194	0.06196194	19.7918
195	0.06253195	19.82
196	0.06251196	19.82
197	0.06335197	19.854
198	0.06307198	19.858
199	0.06308199	19.8804
200	0.0631200	19.9092
201	0.06401201	19.8968
202	0.06454202	19.9524
203	0.06428203	19.946
204	0.0645204	19.9703
205	0.06515205	19.9824
206	0.06502206	20.0141
207	0.06561207	20.001
208	0.06619208	20.0831
209	0.06569209	20.0913
210	0.06568210	20.117
211	0.06578211	20.1055
212	0.06578212	20.1782
213	0.06572213	20.1787
214	0.06718214	20.2059
215	0.06577215	20.1874
216	0.06663216	20.2307
217	0.06706217	20.2363
218	0.06672218	20.2967
219	0.06709219	20.278
220	0.06705220	20.2937
221	0.06724221	20.2859
222	0.06805222	20.3659
223	0.06764223	20.3401
224	0.06767224	20.3976
225	0.068225	20.387
226	0.06806226	20.4572
227	0.06851227	20.4721
228	0.06828228	20.4199
229	0.06986229	20.5053
230	0.06995230	20.5089
231	0.0708231	20.5634
232	0.07071232	20.6086
233	0.07118233	20.5945
234	0.07164234	20.5885
235	0.07216235	20.616
236	0.07164236	20.6454
237	0.0727237	20.6899
238	0.07243238	20.7392
239	0.07211239	20.7244
240	0.07186240	20.7387
241	0.07301241	20.7486
242	0.0731242	20.7934
243	0.07286243	20.8109
244	0.07362244	20.8259
245	0.07402245	20.8838
246	0.0735246	20.8834
247	0.07306247	20.8825
248	0.07387248	20.922
249	0.07363249	20.9801
250	0.07454250	20.975
251	0.07502251	21.0082
252	0.07617252	21.0915
253	0.07632253	21.0225
254	0.07653254	21.1208
255	0.07627255	21.0698
256	0.0764256	21.1317
257	0.07548257	21.1549
258	0.07543258	21.1844
259	0.07575259	21.1834
260	0.07611260	21.2241
261	0.07612261	21.2271
262	0.07704262	21.2873
263	0.07865263	21.2877
264	0.07858264	21.3155
265	0.07902265	21.3509
266	0.07935266	21.3949
267	0.0796267	21.4165
268	0.07906268	21.3826
269	0.07946269	21.4335
270	0.08074270	21.4641
271	0.08014271	21.4443
272	0.08157272	21.5049
273	0.08145273	21.4984
274	0.08128274	21.514
275	0.08187275	21.5777
276	0.08194276	21.5982
277	0.08271277	21.617
278	0.08307278	21.6686
279	0.08267279	21.6829
280	0.08298280	21.7295
281	0.08275281	21.6998
282	0.0823282	21.6871
283	0.08233283	21.7742
284	0.08309284	21.8162
285	0.08279285	21.8206
286	0.08349286	21.8317
287	0.08348287	21.8561
288	0.08308288	21.8408
289	0.08363289	21.8729
290	0.0854290	21.9579
291	0.08582291	21.9545
292	0.08693292	21.9925
293	0.08722293	22.0251
294	0.08742294	22.0429
295	0.08787295	22.0995
296	0.08812296	22.1237
297	0.08836297	22.1276
298	0.0894298	22.1719
299	0.0897299	22.1991
300	0.09104300	22.2802
301	0.0907301	22.2656
302	0.09115302	22.2854
303	0.09099303	22.2713
304	0.0918304	22.297
305	0.09147305	22.3083
306	0.09151306	22.3529
307	0.09197307	22.3701
308	0.09187308	22.3753
309	0.09245309	22.432
310	0.09286310	22.4665
311	0.09372311	22.5296
312	0.09318312	22.4825
313	0.09352313	22.5168
314	0.09369314	22.5748
315	0.09427315	22.5861
316	0.09501316	22.6744
317	0.09455317	22.6494
318	0.09486318	22.6686
319	0.09607319	22.706
320	0.09644320	22.7339
321	0.09681321	22.7719
322	0.09742322	22.7803
323	0.09828323	22.7851
324	0.0993324	22.8594
325	0.09943325	22.8371
326	0.09961326	22.9178
327	0.09899327	22.9365
328	0.10027328	22.9364
329	0.10015329	22.9847
330	0.10067330	22.9657
331	0.10183331	23.0156
332	0.10163332	23.0609
333	0.10303333	23.0866
334	0.10286334	23.1059
335	0.1029335	23.1423
336	0.10296336	23.1502
337	0.10378337	23.1922
338	0.10385338	23.2305
339	0.10387339	23.2309
340	0.1043340	23.2726
341	0.10511341	23.259
342	0.105342	23.315
343	0.10532343	23.3577
344	0.10506344	23.3425
345	0.1056345	23.4002
346	0.10602346	23.4362
347	0.10631347	23.4418
348	0.10632348	23.499
349	0.10708349	23.4991
350	0.10813350	23.5208
351	0.10872351	23.6067
352	0.10924352	23.6385
353	0.10908353	23.6221
354	0.10858354	23.6451
355	0.10971355	23.6781
356	0.11016356	23.7029
357	0.11076357	23.7635
358	0.11105358	23.7534
359	0.11143359	23.7828
360	0.11262360	23.8194
361	0.11301361	23.8578
362	0.11369362	23.876
363	0.11414363	23.8954
364	0.114364	23.9287
365	0.11468365	23.9513
366	0.11494366	23.99
367	0.11534367	23.9756
368	0.11617368	23.9921
369	0.1164369	24.0125
370	0.11713370	24.0402
371	0.11801371	24.0828
372	0.11858372	24.1048
373	0.11873373	24.1184
374	0.11847374	24.1448
375	0.11899375	24.1831
376	0.11972376	24.196
377	0.11991377	24.2378
378	0.12023378	24.2507
379	0.12055379	24.3175
380	0.12096380	24.3361
381	0.12137381	24.3582
382	0.12218382	24.3721
383	0.12253383	24.4095
384	0.12346384	24.4243
385	0.12362385	24.4443
386	0.12406386	24.4736
387	0.12437387	24.5072
388	0.12497388	24.541
389	0.12583389	24.5698
390	0.12619390	24.5578
391	0.12736391	24.6053
392	0.12731392	24.6254
393	0.12784393	24.6832
394	0.12813394	24.6771
395	0.12844395	24.6885
396	0.12884396	24.7054
397	0.12912397	24.739
398	0.12958398	24.7626
399	0.12989399	24.8006
400	0.13052400	24.8462
401	0.13057401	24.8403
402	0.13089402	24.862
403	0.13182403	24.8915
404	0.13287404	24.9426
405	0.13325405	24.9551
406	0.13348406	24.9979
407	0.13384407	25.0061
408	0.13445408	25.0241
409	0.13458409	25.0434
410	0.1349410	25.072
411	0.13598411	25.1014
412	0.13654412	25.1242
413	0.13688413	25.1384
414	0.13772414	25.1697
415	0.1385415	25.2113
416	0.13854416	25.2272
417	0.13919417	25.2394
418	0.13952418	25.2574
419	0.14003419	25.2685
420	0.14061420	25.3096
421	0.1408421	25.3216
422	0.14126422	25.3548
423	0.14134423	25.3759
424	0.14203424	25.3896
425	0.14202425	25.3921
426	0.14289426	25.4461
427	0.14282427	25.4449
428	0.14317428	25.4557
429	0.14389429	25.5048
430	0.14403430	25.5166
431	0.14444431	25.5369
432	0.14479432	25.5713
433	0.14553433	25.5755
434	0.14624434	25.6139
435	0.14702435	25.6437
436	0.14702436	25.6356
437	0.14751437	25.6896
438	0.14817438	25.719
439	0.14843439	25.7206
440	0.14912440	25.7502
441	0.14975441	25.8002
442	0.15044442	25.813
443	0.15091443	25.8358
444	0.15128444	25.8293
445	0.15227445	25.8663
446	0.15255446	25.8888
447	0.15286447	25.9149
448	0.15333448	25.9348
449	0.1538449	25.9371
450	0.15461450	25.9743
451	0.15498451	26.004
452	0.15556452	26.0152
453	0.1557453	26.0469
454	0.15614454	26.0433
455	0.15691455	26.0612
456	0.15735456	26.0903
457	0.15743457	26.0925
458	0.15802458	26.1152
459	0.15853459	26.1365
460	0.15916460	26.1496
461	0.16007461	26.1902
462	0.16064462	26.2111
463	0.161463	26.2324
464	0.16137464	26.2435
465	0.16225465	26.2575
466	0.16297466	26.2846
467	0.16375467	26.2993
468	0.16394468	26.3202
469	0.16433469	26.3426
470	0.16483470	26.3525
471	0.16525471	26.3633
472	0.16567472	26.3812
473	0.16629473	26.4016
474	0.16689474	26.4232
475	0.1677475	26.4374
476	0.16826476	26.4507
477	0.16867477	26.4675
478	0.16875478	26.4839
479	0.16943479	26.51
480	0.17035480	26.5441
481	0.17067481	26.5466
482	0.17127482	26.5622
483	0.17137483	26.568
484	0.17205484	26.5944
485	0.17251485	26.6144
486	0.17284486	26.6285
487	0.17335487	26.6415
488	0.17359488	26.6576
489	0.17427489	26.6728
490	0.17479490	26.6904
491	0.1752491	26.7035
492	0.17607492	26.7259
493	0.17655493	26.7442
494	0.17719494	26.7617
495	0.17745495	26.7819
496	0.1779496	26.8008
497	0.17839497	26.8139
498	0.17882498	26.8316
499	0.17921499	26.8361
500	0.17994500	26.8532
501	0.18052501	26.8676
502	0.18082502	26.8779
503	0.18117503	26.9084
504	0.18138504	26.9068
505	0.18164505	26.9317
506	0.18208506	26.9523
507	0.18242507	26.9569
508	0.18232508	26.9745
509	0.1829509	26.9809
510	0.1833510	26.9856
511	0.1835511	27.0021
512	0.18403512	27.022
513	0.18452513	27.0357
514	0.18512514	27.0453
515	0.18559515	27.0745
516	0.18609516	27.082
517	0.18634517	27.0915
518	0.18689518	27.1094
519	0.18698519	27.1165
520	0.18742520	27.1196
521	0.18788521	27.139
522	0.18815522	27.1549
523	0.18849523	27.1582
524	0.1888524	27.1784
525	0.18896525	27.1864
526	0.18918526	27.1879
527	0.18947527	27.2044
528	0.18982528	27.2164
529	0.19012529	27.2296
530	0.19037530	27.2496
531	0.19071531	27.2587
532	0.19111532	27.2681
533	0.19157533	27.2806
534	0.19177534	27.2825
535	0.19212535	27.2964
536	0.19257536	27.3145
537	0.19278537	27.3259
538	0.19288538	27.3252
539	0.19307539	27.3428
540	0.1935540	27.3546
541	0.1936541	27.3615
542	0.19384542	27.367
543	0.19407543	27.3746
544	0.19429544	27.3868
545	0.1946545	27.3905
546	0.19486546	27.4037
547	0.19508547	27.4165
548	0.19524548	27.4176
549	0.1954549	27.4191
550	0.19577550	27.4297
551	0.19613551	27.4412
552	0.19648552	27.446
553	0.1968553	27.4568
554	0.19716554	27.465
555	0.19729555	27.4741
556	0.19767556	27.4862
557	0.19804557	27.4981
558	0.19831558	27.5027
559	0.19848559	27.5129
560	0.19859560	27.5177
561	0.19904561	27.5291
562	0.19923562	27.5364
563	0.19945563	27.5407
564	0.19965564	27.553
565	0.19989565	27.5589
566	0.20011566	27.5634
567	0.20039567	27.5716
568	0.20065568	27.5792
569	0.20096569	27.5878
570	0.20118570	27.5967
571	0.20132571	27.6006
572	0.20167572	27.6082
573	0.2018573	27.614
574	0.20204574	27.6203
575	0.20226575	27.623
576	0.20242576	27.6303
577	0.20259577	27.6347
578	0.20288578	27.6475
579	0.20296579	27.6534
580	0.20311580	27.6581
581	0.20325581	27.6631
582	0.2034582	27.6698
583	0.20362583	27.6748
584	0.20372584	27.6794
585	0.20389585	27.6831
586	0.20401586	27.6903
587	0.20422587	27.6943
588	0.20439588	27.7032
589	0.20461589	27.7084
590	0.20486590	27.7148
591	0.20504591	27.7178
592	0.20514592	27.7216
593	0.20536593	27.7263
594	0.20558594	27.7304
595	0.20569595	27.7387
596	0.20585596	27.7447
597	0.20602597	27.7506
598	0.20611598	27.7561
599	0.20626599	27.7603
600	0.20638600	27.7629
601	0.20651601	27.7711
602	0.20664602	27.7756
603	0.20667603	27.7775
604	0.20672604	27.7816
605	0.20681605	27.7855
606	0.20693606	27.7938
607	0.20705607	27.7986
608	0.20705608	27.8025
609	0.20713609	27.8034
610	0.20714610	27.8094
611	0.2072611	27.8113
612	0.20729612	27.8134
613	0.20737613	27.8216
614	0.20747614	27.8212
