# Eval no.	mean best sol
0	-15.631
1	-17.695666666666668
2	-19.07133333333333
3	-20.071666666666665
4	-20.820333333333334
5	-21.412
6	-21.899333333333335
7	-22.294333333333334
8	-22.647333333333332
9	-22.960333333333335
10	-23.228666666666665
11	-23.452333333333332
12	-23.641
13	-23.832333333333334
14	-24.002666666666666
15	-24.154333333333334
16	-24.301
17	-24.416333333333334
18	-24.520666666666667
19	-24.626666666666665
20	-24.722
21	-24.806
22	-24.883
23	-24.944666666666667
24	-25.012
25	-25.080666666666666
26	-25.137666666666668
27	-25.186333333333334
28	-25.249333333333333
29	-25.306333333333335
30	-25.354
31	-25.405
32	-25.446666666666665
33	-25.497
34	-25.54
35	-25.585333333333335
36	-25.630333333333333
37	-25.670333333333332
38	-25.705666666666666
39	-25.740666666666666
40	-25.777666666666665
41	-25.811333333333334
42	-25.844
43	-25.879666666666665
44	-25.909
45	-25.940666666666665
46	-25.976
47	-26.012
48	-26.047
49	-26.081
50	-26.116333333333333
51	-26.142333333333333
52	-26.169333333333334
53	-26.19633333333333
54	-26.218333333333334
55	-26.244
56	-26.272666666666666
57	-26.296
58	-26.319333333333333
59	-26.343
60	-26.369333333333334
61	-26.389
62	-26.407333333333334
63	-26.430666666666667
64	-26.452666666666666
65	-26.469666666666665
66	-26.488333333333333
67	-26.51
68	-26.531
69	-26.545
70	-26.566333333333333
71	-26.588333333333335
72	-26.606666666666666
73	-26.625333333333334
74	-26.644
75	-26.663
76	-26.682333333333332
77	-26.698333333333334
78	-26.714666666666666
79	-26.72833333333333
80	-26.746
81	-26.757666666666665
82	-26.772333333333332
83	-26.788666666666668
84	-26.806
85	-26.822666666666667
86	-26.838333333333335
87	-26.853666666666665
88	-26.869
89	-26.881333333333334
90	-26.897
91	-26.908333333333335
92	-26.920333333333332
93	-26.938666666666666
94	-26.952
95	-26.963666666666665
96	-26.978
97	-26.991666666666667
98	-27.002666666666666
99	-27.012666666666668
100	-27.026666666666667
101	-27.039666666666665
102	-27.054
103	-27.066
104	-27.08
105	-27.09
106	-27.104666666666667
107	-27.11466666666667
108	-27.127333333333333
109	-27.139
110	-27.152666666666665
111	-27.163
112	-27.172333333333334
113	-27.184333333333335
114	-27.198666666666668
115	-27.209333333333333
116	-27.220666666666666
117	-27.232333333333333
118	-27.241
119	-27.253
120	-27.264333333333333
121	-27.275
122	-27.283
123	-27.291333333333334
124	-27.30366666666667
125	-27.312666666666665
126	-27.321666666666665
127	-27.334666666666667
128	-27.344
129	-27.353
130	-27.360333333333333
131	-27.371666666666666
132	-27.383
133	-27.392666666666667
134	-27.401666666666667
135	-27.409
136	-27.422666666666668
137	-27.432
138	-27.440333333333335
139	-27.446666666666665
140	-27.454666666666668
141	-27.464333333333332
142	-27.47533333333333
143	-27.485
144	-27.495666666666665
145	-27.504
146	-27.511
147	-27.520333333333333
148	-27.529333333333334
149	-27.53933333333333
150	-27.548666666666666
151	-27.561
152	-27.568666666666665
153	-27.578666666666667
154	-27.584666666666667
155	-27.592
156	-27.601
157	-27.609333333333332
158	-27.620333333333335
159	-27.628333333333334
160	-27.638666666666666
161	-27.64666666666667
162	-27.652333333333335
163	-27.663666666666668
164	-27.674
165	-27.686333333333334
166	-27.694
