# Generation	mean_fitness
0	22.774
1	22.908
2	22.872
3	22.807
4	22.678
5	23.001
6	22.737
7	22.736
8	22.64
9	23.014
10	22.976
11	23.011
12	23.141
13	23.274
14	22.909
15	22.866
16	22.798
17	22.903
18	22.887
19	23.044
20	23.009
21	22.934
22	22.936
23	23.086
24	23.12
25	23.16
26	22.693
27	22.844
28	22.806
29	22.992
30	23.299
31	22.911
32	22.834
33	22.897
34	23.127
35	23.064
36	23.058
37	22.958
38	22.908
39	22.881
40	22.768
41	23.001
42	22.754
43	22.847
44	23.145
45	22.958
46	23.21
47	23.456
48	23.229
49	23.252
50	23.077
51	23.313
52	23.181
53	23.349
54	23.474
55	23.283
56	22.99
57	23.175
58	23.043
59	23.264
60	23.207
61	23.163
62	23.101
63	23.062
64	23.218
65	23.222
66	23.229
67	23.178
68	22.934
69	23.074
70	23.14
71	23.121
72	23.16
73	23.181
74	23.358
75	23.595
76	23.19
77	23.293
78	23.392
79	23.147
80	22.85
81	23.016
82	23.32
83	23.252
84	23.021
85	23.391
86	23.387
87	23.328
88	23.405
89	23.19
90	23.298
91	23.249
92	23.052
93	23.185
94	23.29
95	23.234
96	23.401
97	23.179
98	23.238
99	23.405
100	23.419
101	23.393
102	23.686
103	23.552
104	23.533
105	23.575
106	23.478
107	23.369
108	23.459
109	23.288
110	23.489
111	23.733
112	23.507
113	23.512
114	23.68
115	23.583
116	23.615
117	23.356
118	23.637
119	23.439
120	23.553
121	23.361
122	23.665
123	23.495
124	23.372
125	23.372
126	23.574
127	23.395
128	23.366
129	23.497
130	23.54
131	23.68
132	23.741
133	23.721
134	23.9
135	23.387
136	23.687
137	23.66
138	23.784
139	23.813
140	23.659
141	23.722
142	23.647
143	23.728
144	23.488
145	23.333
146	23.408
147	23.319
148	23.253
149	23.441
150	23.541
151	23.683
152	23.702
153	23.942
154	23.885
155	23.681
156	23.84
157	23.876
158	23.739
159	23.785
160	23.998
161	23.86
162	23.666
163	23.656
164	23.411
165	23.623
166	23.58
167	23.645
168	23.351
169	23.795
170	23.92
171	23.613
172	23.542
173	23.597
174	23.744
175	23.745
176	23.737
177	23.636
178	23.864
179	23.782
180	24.112
