# Generation	mean_fitness
0	23.452
1	23.203
2	23.316
3	23.621
4	23.392
5	23.629
6	23.154
7	23.597
8	23.465
9	23.456
10	23.198
11	23.35
12	23.374
13	23.472
14	23.381
15	23.583
16	23.563
17	23.478
18	23.175
19	23.48
20	23.629
21	23.364
22	23.547
23	23.294
24	23.484
25	23.471
26	23.411
27	23.705
28	23.523
29	23.546
30	23.414
31	23.474
32	23.397
33	23.526
34	23.438
35	23.368
36	23.434
37	23.659
38	23.532
39	23.594
40	23.736
41	23.288
42	23.74
43	23.506
44	23.26
45	23.613
46	23.532
47	23.589
48	23.461
49	23.733
50	23.495
51	23.612
52	23.596
53	23.758
54	23.514
55	23.523
56	23.491
57	23.529
58	23.538
59	23.536
60	23.822
61	23.782
62	23.738
63	23.547
64	23.528
65	23.569
66	23.487
67	23.598
68	23.641
69	23.639
70	23.63
71	23.692
72	23.559
73	23.353
74	23.404
75	23.513
76	23.465
77	23.583
78	23.859
79	23.834
80	23.539
81	23.711
82	23.843
83	23.831
84	23.616
85	23.765
86	23.749
87	23.6
88	23.649
89	23.771
90	23.682
91	23.572
92	23.744
93	23.709
94	23.901
95	23.934
96	23.61
97	23.869
98	23.6
99	23.619
100	23.502
101	23.494
102	23.633
103	23.936
104	23.885
105	23.643
106	23.609
107	23.597
108	23.69
109	23.813
110	23.486
111	23.669
112	23.474
113	23.952
114	23.781
115	23.92
116	23.795
117	23.848
118	23.502
119	23.606
120	23.787
121	23.837
122	23.912
123	23.806
124	23.69
125	23.518
126	23.68
127	23.798
128	23.748
129	23.616
130	23.994
131	23.8
132	24.047
133	23.794
134	23.837
135	23.851
136	24.115
137	24.019
138	23.611
139	23.777
140	23.672
141	23.782
142	23.5
143	23.902
144	23.922
145	23.696
146	23.966
147	23.807
148	23.697
149	23.764
150	23.741
151	23.999
152	24.117
153	23.962
154	23.579
155	23.749
156	23.888
157	23.817
158	23.932
159	24.055
160	24.082
161	23.902
162	24.02
163	24.165
164	24.106
165	24.044
166	23.789
167	23.956
168	24.065
169	23.889
170	23.881
171	23.875
172	23.956
173	23.72
174	24.078
175	23.989
176	23.96
177	23.807
178	24.253
179	24.13
180	23.985
181	23.872
182	23.99
183	24.279
184	24.174
185	24.232
186	24.276
187	24.099
188	24.24
189	24.202
190	24.196
191	24.157
192	24.022
193	24.077
194	24.201
195	24.237
196	24.046
197	24.143
198	23.914
199	24.267
200	23.767
201	24.029
202	24.099
203	24.267
204	24.359
205	24.366
206	24.22
207	24.304
208	24.245
209	24.308
210	24.263
211	24.223
212	24.113
213	24.219
214	24.223
215	24.155
216	24.198
217	24.126
218	24.472
219	24.347
220	24.551
221	24.401
222	24.184
223	24.276
224	24.255
225	24.292
226	24.264
227	24.261
228	24.155
229	24.095
230	24.076
231	24.148
232	24.031
233	24.235
234	24.388
235	24.319
236	24.312
237	24.309
238	24.468
239	24.497
240	24.44
241	24.648
242	24.438
243	24.44
244	24.339
245	24.233
246	24.339
247	24.267
248	24.318
249	24.768
250	24.527
251	24.569
252	24.739
253	24.431
254	24.55
255	24.541
256	24.783
257	24.533
258	24.463
