MINIMIZING EASOM FUNCTION (1000 gens, gray)
EASOM FUNCTION
1000
gray
Gen #	minima
1	-6.105769803497645e-50
2	-6.105769803497645e-50
3	-6.105769803497645e-50
4	-2.6059437270457244e-19
5	-2.6059437270457244e-19
6	-2.6059437270457244e-19
7	-2.6059437270457244e-19
8	-2.6059437270457244e-19
9	-2.6059437270457244e-19
10	-2.6059437270457244e-19
11	-2.6059437270457244e-19
12	-2.6059437270457244e-19
13	-2.6059437270457244e-19
14	-2.6059437270457244e-19
15	-3.270827234376671e-14
16	-3.270827234376671e-14
17	-3.270827234376671e-14
18	-4.961501920416075e-09
19	-4.961501920416075e-09
20	-4.961501920416075e-09
21	-4.961501920416075e-09
22	-4.961501920416075e-09
23	-4.961501920416075e-09
24	-4.961501920416075e-09
25	-4.961501920416075e-09
26	-4.961501920416075e-09
27	-4.961501920416075e-09
28	-1.2599296843556248e-08
29	-1.3813773809933032e-08
30	-2.1814955399698787e-08
31	-2.1814955399698787e-08
32	-2.1814955399698787e-08
33	-2.5966215080886552e-08
34	-2.5966215080886552e-08
35	-2.5966215080886552e-08
36	-2.5966215080886552e-08
37	-2.5966215080886552e-08
38	-2.5966215080886552e-08
39	-2.5966215080886552e-08
40	-2.5966215080886552e-08
41	-2.5966215080886552e-08
42	-2.5966215080886552e-08
43	-2.5966215080886552e-08
44	-8.667298762788642e-08
45	-8.667298762788642e-08
46	-8.667298762788642e-08
47	-8.667298762788642e-08
48	-8.667298762788642e-08
49	-4.790564297417094e-07
50	-4.820647914440341e-07
51	-4.82460076881636e-07
52	-4.82460076881636e-07
53	-4.82460076881636e-07
54	-4.82460076881636e-07
55	-4.82460076881636e-07
56	-4.871674626395157e-07
57	-4.871674626395157e-07
58	-4.871674626395157e-07
59	-4.871674626395157e-07
60	-4.963941741149948e-07
61	-4.963941741149948e-07
62	-4.963941741149948e-07
63	-4.963941741149948e-07
64	-4.995054184828074e-07
65	-4.995054184828074e-07
66	-4.995054184828074e-07
67	-4.995054184828074e-07
68	-4.995054184828074e-07
69	-1.0970989338265772e-05
70	-1.1032679266521984e-05
71	-1.1032679266521984e-05
72	-1.1032679266521984e-05
73	-1.1041410351365783e-05
74	-1.1041410351365783e-05
75	-1.1041410351365783e-05
76	-1.4411780887621242e-05
77	-1.4472682931332331e-05
78	-1.449281840407392e-05
79	-1.4504287787353778e-05
80	-1.4504287787353778e-05
81	-1.4504287787353778e-05
82	-1.4504287787353778e-05
83	-1.4554062900283238e-05
84	-1.455646453299929e-05
85	-4.570010561207864e-05
86	-4.585757561846507e-05
87	-4.585757561846507e-05
88	-4.585757561846507e-05
89	-4.586040025889059e-05
90	-4.586040025889059e-05
91	-5.451484573091994e-05
92	-5.451484573091994e-05
93	-5.492741796290012e-05
94	-5.492741796290012e-05
95	-5.492741796290012e-05
96	-5.492741796290012e-05
97	-5.492741796290012e-05
98	-5.492741796290012e-05
99	-5.492741796290012e-05
100	-5.492741796290012e-05
101	-5.492741796290012e-05
102	-5.492741796290012e-05
103	-5.492741796290012e-05
104	-5.492741796290012e-05
105	-5.8641237311113675e-05
106	-6.299289020143782e-05
107	-6.299289020143782e-05
108	-6.299289020143782e-05
109	-6.299289020143782e-05
110	-6.299289020143782e-05
111	-6.299289020143782e-05
112	-6.299289020143782e-05
113	-6.299289020143782e-05
114	-6.299289020143782e-05
115	-6.299289020143782e-05
116	-6.299289020143782e-05
117	-6.299289020143782e-05
118	-6.299289020143782e-05
119	-6.299289020143782e-05
120	-6.299289020143782e-05
121	-6.299289020143782e-05
122	-6.299289020143782e-05
123	-6.299289020143782e-05
124	-6.299289020143782e-05
125	-6.299289020143782e-05
126	-6.299289020143782e-05
127	-6.299289020143782e-05
128	-6.299289020143782e-05
