MINIMIZING ROSENBROCK'S SADDLE (1000 gens, binary)
ROSENBROCK'S SADDLE
1000
binary
Gen #	minima
1	4.028501
2	4.028501
3	4.028501
4	4.028501
5	4.028501
6	1.6585809999999999
7	1.3812209999999998
8	1.3812209999999998
9	1.3812209999999998
10	1.3812209999999998
11	1.3812209999999998
12	1.3812209999999998
13	1.3812209999999998
14	1.3812209999999998
15	1.3812209999999998
16	1.3812209999999998
17	1.3812209999999998
18	1.3812209999999998
19	1.3812209999999998
20	1.179301
21	1.179301
22	1.179301
23	1.179301
24	1.179301
25	1.179301
26	1.179301
27	1.179301
28	1.020101
29	1.020101
30	1.020101
31	1.020101
32	1.020101
33	1.020101
34	1.020101
35	1.020101
36	1.020101
37	1.020101
38	1.020101
39	1.020101
40	1.020101
41	1.020101
42	1.020101
43	1.020101
44	1.020101
45	1.020101
46	1.020101
47	1.020101
48	1.020101
49	1.020101
50	1.020101
51	1.020101
52	1.020101
53	1.020101
54	1.020101
55	1.020101
56	1.020101
57	1.020101
58	1.020101
59	1.020101
60	1.020101
61	1.020101
62	1.020101
63	1.020101
64	1.020101
65	1.020101
66	1.020101
67	1.020101
68	1.020101
69	1.020101
70	1.020101
71	1.020101
72	1.020101
73	1.020101
74	1.020101
75	1.020101
76	1.020101
77	1.020101
78	1.020101
79	1.020101
80	1.020101
81	1.020101
82	1.020101
83	1.020101
84	1.020101
85	1.020101
86	1.020101
87	1.020101
88	1.020101
89	1.020101
90	1.020101
91	1.020101
92	1.020101
93	1.020101
94	1.020101
95	1.020101
96	1.020101
97	1.020101
98	1.020101
99	1.020101
100	1.020101
101	1.020101
102	1.020101
103	1.020101
104	1.020101
105	1.020101
106	1.020101
107	1.020101
108	1.020101
109	1.020101
110	1.020101
111	1.020101
112	1.020101
113	1.020101
114	1.020101
115	1.020101
116	1.020101
117	1.020101
118	1.020101
119	1.020101
120	1.020101
121	1.020101
122	1.020101
123	1.020101
124	1.020101
125	1.020101
126	1.020101
127	1.020101
128	1.020101
129	1.020101
130	1.020101
131	1.020101
132	1.020101
133	1.020101
134	1.020101
135	1.020101
136	1.020101
137	1.020101
138	1.020101
139	1.020101
140	1.020101
141	1.020101
142	1.020101
143	1.020101
144	1.020101
145	1.020101
146	1.020101
147	1.020101
148	1.020101
149	1.020101
150	1.020101
151	1.020101
152	1.020101
153	1.020101
154	1.020101
155	1.020101
156	1.020101
157	1.020101
158	1.020101
159	1.020101
160	1.020101
161	1.020101
162	1.020101
163	1.020101
164	1.020101
165	1.020101
166	1.020101
167	1.020101
168	1.020101
169	1.020101
170	1.020101
171	1.020101
172	1.020101
173	1.020101
174	1.020101
175	1.020101
176	1.020101
177	1.020101
178	1.020101
179	1.020101
180	1.020101
181	1.020101
182	1.020101
183	1.020101
184	1.020101
185	1.020101
186	1.020101
187	1.020101
188	1.020101
189	1.020101
190	1.020101
191	1.020101
192	1.020101
193	1.020101
194	1.020101
195	1.020101
196	1.020101
197	1.020101
198	1.020101
199	1.020101
200	1.020101
201	1.020101
202	1.020101
203	1.020101
204	1.020101
205	1.020101
206	1.020101
207	1.020101
208	1.020101
209	1.020101
210	1.020101
211	1.020101
212	1.020101
213	1.020101
214	1.020101
215	1.020101
216	1.020101
217	1.020101
218	1.020101
219	1.020101
220	1.020101
221	1.020101
222	1.020101
223	1.020101
224	1.020101
225	1.020101
226	1.020101
227	1.020101
228	1.020101
229	1.020101
230	1.020101
231	1.020101
232	1.020101
233	1.020101
234	1.020101
235	1.020101
236	1.020101
237	1.020101
238	1.020101
239	1.020101
240	1.020101
241	1.020101
242	1.020101
243	1.020101
244	1.020101
245	1.020101
246	1.020101
247	1.020101
248	1.020101
249	1.020101
250	1.020101
251	1.020101
252	1.020101
253	1.020101
254	1.020101
255	1.020101
256	1.020101
257	1.020101
258	1.020101
259	1.020101
260	1.020101
261	1.020101
262	1.020101
263	1.020101
264	1.020101
265	1.020101
266	1.020101
267	1.020101
268	1.020101
269	1.020101
270	1.020101
271	1.020101
272	1.020101
273	1.020101
274	1.020101
275	1.020101
276	1.020101
277	1.020101
278	1.020101
279	1.020101
280	1.020101
281	1.020101
282	1.020101
283	1.020101
284	1.020101
285	1.020101
286	1.020101
287	1.020101
288	1.020101
289	1.020101
290	1.020101
291	1.020101
292	1.020101
293	1.020101
294	1.020101
295	1.020101
296	1.020101
297	1.020101
298	1.020101
299	1.020101
300	1.020101
301	1.020101
302	1.020101
303	1.020101
304	1.020101
305	1.020101
306	1.020101
307	1.020101
308	1.020101
309	1.020101
310	1.020101
311	1.020101
312	1.020101
313	1.020101
314	1.020101
315	1.020101
316	1.020101
317	1.020101
318	1.020101
319	1.020101
320	1.020101
321	1.020101
322	1.020101
323	1.020101
324	1.020101
325	1.020101
326	1.020101
327	1.020101
