# Generation	ratio_optimal	mean_fitness
1	0.03129	23.0091
2	0.05299	24.3693
3	0.07644	25.3669
4	0.10137	26.1412
5	0.12736	26.7624
6	0.15425	27.2677
7	0.18324	27.6993
8	0.21323	28.0644
9	0.24469	28.3806
10	0.2762	28.6502
11	0.30697	28.8835
12	0.33844	29.0958
13	0.37026	29.2841
14	0.40049	29.4483
15	0.4301	29.5952
16	0.45959	29.7274
17	0.48835	29.8468
18	0.51635	29.9525
19	0.54255	30.0464
20	0.56768	30.1301
21	0.59295	30.2073
22	0.61619	30.2767
23	0.6379	30.3396
24	0.65983	30.396
25	0.68131	30.4472
26	0.70066	30.4941
27	0.71918	30.5366
28	0.73718	30.576
29	0.75362	30.6109
30	0.76959	30.6428
31	0.78383	30.6714
32	0.79757	30.6978
33	0.81018	30.721
34	0.82323	30.7444
35	0.83538	30.7657
36	0.84684	30.7849
37	0.85741	30.8027
38	0.86711	30.8186
39	0.87619	30.8329
40	0.88436	30.8461
41	0.89249	30.8587
42	0.89994	30.8698
43	0.90669	30.8802
44	0.91332	30.89
45	0.9196	30.8989
46	0.9257	30.9076
47	0.93075	30.9147
48	0.93577	30.9217
49	0.94021	30.9277
50	0.94488	30.9339
51	0.94882	30.939
52	0.95235	30.9437
53	0.95583	30.9481
54	0.95911	30.9524
55	0.96255	30.9565
56	0.96528	30.96
57	0.96763	30.963
58	0.97042	30.9662
59	0.97288	30.9691
60	0.97509	30.9717
61	0.97688	30.9737
62	0.97852	30.9757
63	0.97998	30.9775
64	0.98144	30.9793
65	0.98283	30.9809
66	0.98415	30.9824
67	0.98531	30.9838
68	0.98653	30.9852
69	0.98758	30.9864
70	0.98842	30.9874
71	0.98927	30.9883
72	0.98998	30.9891
73	0.99088	30.9901
74	0.99156	30.9908
75	0.99223	30.9915
76	0.99276	30.9921
77	0.99333	30.9928
78	0.99396	30.9935
79	0.99442	30.994
80	0.99484	30.9944
81	0.99522	30.9948
82	0.99554	30.9951
83	0.99592	30.9956
84	0.99623	30.9959
85	0.99643	30.9962
86	0.99669	30.9965
87	0.99695	30.9967
88	0.99719	30.997
89	0.9974	30.9972
90	0.99758	30.9974
91	0.99777	30.9976
92	0.99789	30.9977
93	0.99813	30.998
94	0.99823	30.9981
95	0.99837	30.9982
96	0.9985	30.9984
97	0.9986	30.9985
98	0.99874	30.9987
99	0.99885	30.9988
100	0.99891	30.9988
101	0.99901	30.9989
102	0.99903	30.999
103	0.99908	30.999
104	0.99914	30.9991
105	0.99918	30.9991
106	0.99923	30.9992
107	0.99928	30.9992
108	0.99934	30.9993
109	0.99939	30.9994
110	0.99941	30.9994
111	0.99945	30.9994
112	0.9995	30.9995
113	0.99956	30.9995
114	0.99958	30.9996
115	0.99964	30.9996
116	0.99968	30.9997
117	0.99969	30.9997
118	0.99972	30.9997
119	0.99975	30.9997
120	0.99977	30.9998
121	0.99979	30.9998
122	0.99982	30.9998
123	0.99982	30.9998
124	0.99983	30.9998
125	0.99983	30.9998
126	0.99983	30.9998
127	0.99985	30.9998
128	0.99986	30.9998
129	0.99988	30.9999
130	0.9999	30.9999
131	0.99991	30.9999
132	0.99993	30.9999
133	0.99993	30.9999
134	0.99993	30.9999
135	0.99993	30.9999
136	0.99993	30.9999
137	0.99993	30.9999
138	0.99994	30.9999
139	0.99995	30.9999
140	0.99997	31
141	0.99997	31
142	0.99997	31
143	0.99997	31
144	0.99997	31
145	0.99997	31
146	0.99997	31
147	0.99997	31
148	0.99997	31
149	0.99997	31
150	0.99998	31
151	0.99999	31
152	0.99999	31
153	0.99999	31
154	0.99999	31
155	0.99999	31
156	0.99999	31
157	0.99999	31
158	0.99999	31
159	0.99999	31
160	0.99999	31
161	0.99999	31
162	0.99999	31
163	0.99999	31
164	0.99999	31
165	0.99999	31
166	0.99999	31
167	0.99999	31
168	0.99999	31
169	0.99999	31
170	0.99999	31
171	0.99999	31
172	0.99999	31
173	1	31
174	1	31
175	1	31
176	1	31
177	1	31
178	1	31
179	1	31
180	1	31
181	1	31
182	1	31
183	1	31
184	1	31
185	1	31
186	1	31
187	1	31
188	1	31
189	1	31
190	1	31
191	1	31
192	1	31
193	1	31
194	1	31
195	1	31
196	1	31
197	1	31
198	1	31
199	1	31
200	1	31
201	1	31
202	1	31
203	1	31
204	1	31
205	1	31
206	1	31
207	1	31
208	1	31
209	1	31
210	1	31
211	1	31
212	1	31
213	1	31
214	1	31
215	1	31
216	1	31
217	1	31
218	1	31
219	1	31
220	1	31
221	1	31
222	1	31
223	1	31
224	1	31
225	1	31
226	1	31
227	1	31
228	1	31
229	1	31
230	1	31
231	1	31
232	1	31
233	1	31
234	1	31
235	1	31
236	1	31
237	1	31
238	1	31
239	1	31
240	1	31
241	1	31
242	1	31
243	1	31
244	1	31
245	1	31
246	1	31
247	1	31
248	1	31
249	1	31
250	1	31
251	1	31
252	1	31
253	1	31
254	1	31
255	1	31
256	1	31
257	1	31
258	1	31
259	1	31
260	1	31
261	1	31
262	1	31
263	1	31
264	1	31
265	1	31
266	1	31
267	1	31
268	1	31
269	1	31
270	1	31
271	1	31
272	1	31
273	1	31
274	1	31
275	1	31
276	1	31
277	1	31
278	1	31
279	1	31
280	1	31
281	1	31
282	1	31
283	1	31
284	1	31
285	1	31
286	1	31
287	1	31
288	1	31
289	1	31
290	1	31
291	1	31
292	1	31
293	1	31
294	1	31
295	1	31
296	1	31
297	1	31
298	1	31
299	1	31
300	1	31
301	1	31
302	1	31
303	1	31
304	1	31
305	1	31
306	1	31
307	1	31
308	1	31
309	1	31
310	1	31
311	1	31
312	1	31
313	1	31
314	1	31
315	1	31
316	1	31
317	1	31
318	1	31
319	1	31
320	1	31
321	1	31
322	1	31
323	1	31
324	1	31
325	1	31
326	1	31
327	1	31
328	1	31
329	1	31
330	1	31
331	1	31
332	1	31
333	1	31
334	1	31
335	1	31
336	1	31
337	1	31
338	1	31
339	1	31
340	1	31
341	1	31
342	1	31
343	1	31
344	1	31
345	1	31
346	1	31
347	1	31
348	1	31
349	1	31
350	1	31
351	1	31
352	1	31
353	1	31
354	1	31
355	1	31
356	1	31
357	1	31
358	1	31
359	1	31
360	1	31
361	1	31
362	1	31
363	1	31
364	1	31
365	1	31
366	1	31
367	1	31
368	1	31
369	1	31
370	1	31
371	1	31
372	1	31
373	1	31
374	1	31
375	1	31
376	1	31
377	1	31
378	1	31
379	1	31
380	1	31
381	1	31
382	1	31
383	1	31
384	1	31
385	1	31
386	1	31
387	1	31
388	1	31
389	1	31
390	1	31
391	1	31
392	1	31
393	1	31
394	1	31
395	1	31
396	1	31
397	1	31
398	1	31
399	1	31
400	1	31
401	1	31
402	1	31
403	1	31
404	1	31
405	1	31
406	1	31
407	1	31
408	1	31
409	1	31
410	1	31
411	1	31
412	1	31
413	1	31
414	1	31
415	1	31
416	1	31
417	1	31
418	1	31
419	1	31
420	1	31
421	1	31
422	1	31
423	1	31
424	1	31
425	1	31
426	1	31
427	1	31
428	1	31
429	1	31
430	1	31
431	1	31
432	1	31
433	1	31
434	1	31
435	1	31
436	1	31
437	1	31
438	1	31
439	1	31
440	1	31
441	1	31
442	1	31
443	1	31
444	1	31
445	1	31
446	1	31
447	1	31
448	1	31
449	1	31
450	1	31
451	1	31
452	1	31
453	1	31
454	1	31
455	1	31
456	1	31
457	1	31
458	1	31
459	1	31
460	1	31
461	1	31
462	1	31
463	1	31
464	1	31
465	1	31
466	1	31
467	1	31
468	1	31
469	1	31
470	1	31
471	1	31
472	1	31
473	1	31
474	1	31
475	1	31
476	1	31
477	1	31
478	1	31
479	1	31
480	1	31
481	1	31
482	1	31
483	1	31
484	1	31
485	1	31
486	1	31
487	1	31
488	1	31
489	1	31
490	1	31
491	1	31
492	1	31
493	1	31
494	1	31
495	1	31
496	1	31
497	1	31
498	1	31
499	1	31
500	1	31
