# Generation	ratio_optimal	mean_fitness
1	0.03136	23.0134
2	0.05275	24.8612
3	0.07315	26.054
4	0.0924	26.8713
5	0.11097	27.458
6	0.13021	27.9162
7	0.14793	28.2548
8	0.16446	28.5216
9	0.18105	28.7368
10	0.19729	28.9167
11	0.21299	29.0693
12	0.22787	29.1981
13	0.24232	29.303
14	0.25637	29.3962
15	0.27035	29.4765
16	0.28367	29.5489
17	0.29711	29.6119
18	0.31003	29.6692
19	0.32264	29.7205
20	0.33511	29.7675
21	0.34698	29.8092
22	0.35848	29.8472
23	0.36993	29.881
24	0.3808	29.9136
25	0.3912	29.9428
26	0.40086	29.9703
27	0.41037	29.9952
28	0.41929	30.0197
29	0.42809	30.0428
30	0.43674	30.065
31	0.44513	30.0856
32	0.45328	30.1049
33	0.461	30.123
34	0.4693	30.1411
35	0.47709	30.1585
36	0.48481	30.1744
37	0.49167	30.1899
38	0.49834	30.2045
39	0.50465	30.2182
40	0.51049	30.2309
41	0.51642	30.2435
42	0.52225	30.2557
43	0.52779	30.2673
44	0.53322	30.279
45	0.53835	30.2903
46	0.54338	30.3012
47	0.54836	30.3116
48	0.55327	30.3222
49	0.55803	30.3322
50	0.56251	30.3416
51	0.5666	30.3508
52	0.5707	30.3596
53	0.5746	30.3678
54	0.57818	30.3759
55	0.58179	30.3836
56	0.58524	30.3911
57	0.58845	30.3985
58	0.59205	30.4066
59	0.59536	30.414
60	0.59888	30.4213
61	0.60222	30.4282
62	0.60546	30.4351
63	0.60837	30.4419
64	0.61108	30.4477
65	0.61389	30.4537
66	0.61655	30.4602
67	0.61922	30.466
68	0.6216	30.4713
69	0.6242	30.4772
70	0.62662	30.4829
71	0.62902	30.4881
72	0.63154	30.4934
73	0.63383	30.4987
74	0.63617	30.5037
75	0.63882	30.5092
76	0.64089	30.5139
77	0.64301	30.5185
78	0.64496	30.5229
79	0.64715	30.5277
80	0.64925	30.5323
81	0.65093	30.5364
82	0.65272	30.5404
83	0.65457	30.5446
84	0.65623	30.5485
85	0.65795	30.5519
86	0.65953	30.5559
87	0.66124	30.5593
88	0.66294	30.5633
89	0.66458	30.567
90	0.66608	30.5702
91	0.6679	30.5741
92	0.66939	30.5779
93	0.67103	30.5817
94	0.67242	30.5845
95	0.67388	30.5877
96	0.67532	30.5909
97	0.67677	30.594
98	0.67826	30.5971
99	0.67956	30.5999
100	0.68093	30.6027
101	0.68217	30.6055
102	0.68343	30.6084
103	0.68457	30.6111
104	0.68576	30.6136
105	0.68675	30.6161
106	0.68802	30.6187
107	0.68908	30.6211
108	0.69018	30.6234
109	0.69137	30.6261
110	0.69234	30.6285
111	0.69348	30.6308
112	0.69444	30.6331
113	0.69568	30.6356
114	0.69658	30.6375
115	0.6975	30.6395
116	0.69841	30.6413
117	0.6995	30.6434
118	0.70048	30.6455
119	0.7014	30.6476
120	0.70244	30.6497
121	0.7034	30.6516
122	0.70425	30.6536
123	0.70516	30.6557
124	0.70611	30.6579
125	0.70688	30.6593
126	0.70762	30.6608
127	0.70854	30.6627
128	0.70958	30.6647
129	0.71036	30.6663
130	0.71134	30.6682
131	0.71215	30.6697
132	0.71299	30.6713
133	0.71367	30.6727
134	0.71447	30.6743
135	0.71515	30.6758
136	0.71577	30.6772
137	0.71637	30.6785
138	0.71705	30.6799
139	0.71771	30.6814
140	0.71838	30.683
141	0.71906	30.6842
142	0.7198	30.6857
143	0.72052	30.687
144	0.72118	30.6883
145	0.72188	30.6897
146	0.72266	30.6911
147	0.72327	30.6922
148	0.72386	30.6933
149	0.72451	30.6944
150	0.72507	30.6955
151	0.72563	30.6966
152	0.72624	30.6977
153	0.72687	30.6988
154	0.72739	30.6998
155	0.72794	30.7008
156	0.7287	30.7021
157	0.72933	30.7032
158	0.72988	30.7044
159	0.73051	30.7054
160	0.731	30.7064
161	0.73144	30.7072
162	0.73206	30.7083
163	0.73271	30.7095
164	0.7332	30.7105
165	0.73373	30.7114
166	0.73431	30.7126
167	0.73499	30.7136
168	0.73564	30.7147
169	0.7361	30.7155
170	0.73659	30.7164
171	0.73703	30.7171
172	0.73757	30.718
173	0.73801	30.7189
174	0.73853	30.7198
175	0.73911	30.7207
176	0.73972	30.7218
177	0.74028	30.7228
178	0.7408	30.7237
179	0.74125	30.7245
180	0.74168	30.7254
181	0.74211	30.7261
182	0.74253	30.7268
183	0.743	30.7275
184	0.74341	30.7282
185	0.74388	30.729
186	0.74432	30.7296
187	0.74464	30.7302
188	0.74504	30.7309
189	0.74544	30.7315
190	0.7458	30.7321
191	0.74625	30.733
192	0.74668	30.7337
193	0.74716	30.7344
194	0.74764	30.7351
195	0.74799	30.7357
196	0.74839	30.7362
197	0.74892	30.737
198	0.74943	30.7377
199	0.74977	30.7383
200	0.7502	30.739
201	0.75059	30.7396
202	0.75089	30.74
203	0.75135	30.7407
204	0.75169	30.7412
205	0.752	30.7417
206	0.75231	30.7422
207	0.75282	30.7428
208	0.7531	30.7434
209	0.75358	30.7441
210	0.75395	30.7446
211	0.75433	30.7451
212	0.75472	30.7457
213	0.75513	30.7462
214	0.75544	30.7468
215	0.75585	30.7473
216	0.75618	30.7478
217	0.75654	30.7484
218	0.75689	30.7489
219	0.75722	30.7493
220	0.7576	30.7497
221	0.758	30.7503
222	0.7583	30.7507
223	0.75872	30.7513
224	0.75905	30.7517
225	0.7595	30.7524
226	0.75978	30.7528
227	0.76009	30.7531
228	0.76044	30.7536
229	0.76088	30.7542
230	0.7613	30.7548
231	0.76176	30.7554
232	0.76214	30.7559
233	0.76251	30.7565
234	0.76281	30.7569
235	0.76318	30.7574
236	0.76355	30.7579
237	0.76384	30.7583
238	0.7643	30.7588
239	0.76474	30.7594
240	0.76502	30.7598
241	0.76532	30.7603
242	0.76564	30.7607
243	0.76587	30.761
244	0.76624	30.7615
245	0.76647	30.7618
246	0.76667	30.7621
247	0.76697	30.7624
248	0.7673	30.7629
249	0.76771	30.7633
250	0.76812	30.7638
251	0.76847	30.7642
252	0.76874	30.7645
253	0.76911	30.765
254	0.76937	30.7653
255	0.76969	30.7657
256	0.7701	30.7662
257	0.77046	30.7666
258	0.77081	30.7671
259	0.77118	30.7675
260	0.7716	30.768
261	0.77192	30.7684
262	0.77225	30.7687
263	0.77255	30.7691
264	0.77284	30.7694
265	0.77313	30.7698
266	0.77337	30.7701
267	0.77366	30.7704
268	0.77395	30.7707
269	0.77431	30.7711
270	0.77465	30.7715
271	0.77487	30.7718
272	0.77518	30.7722
273	0.77549	30.7726
274	0.77568	30.7729
275	0.77598	30.7732
276	0.77618	30.7735
277	0.77654	30.7739
278	0.77689	30.7743
279	0.77713	30.7746
280	0.77741	30.7749
281	0.77777	30.7753
282	0.77813	30.7757
283	0.77836	30.776
284	0.7786	30.7763
285	0.77888	30.7765
286	0.77912	30.7768
287	0.77945	30.7772
288	0.77977	30.7776
289	0.78008	30.778
290	0.78039	30.7783
291	0.78069	30.7786
292	0.78103	30.779
293	0.78141	30.7794
294	0.78173	30.7797
295	0.78205	30.7801
296	0.78238	30.7804
297	0.78269	30.7808
298	0.78305	30.7812
299	0.78345	30.7816
300	0.78374	30.7819
301	0.78403	30.7822
302	0.78426	30.7825
303	0.78447	30.7827
304	0.78478	30.783
305	0.78516	30.7835
306	0.78554	30.7839
307	0.7858	30.7842
308	0.78614	30.7845
309	0.78649	30.7849
310	0.78682	30.7852
311	0.78718	30.7856
312	0.78758	30.7861
313	0.78782	30.7864
314	0.78806	30.7866
315	0.78837	30.787
316	0.78877	30.7874
317	0.78908	30.7877
318	0.78934	30.788
319	0.78962	30.7883
320	0.78989	30.7886
321	0.79013	30.7889
322	0.79047	30.7893
323	0.79073	30.7896
324	0.79101	30.7899
325	0.79134	30.7903
326	0.79166	30.7906
327	0.79197	30.791
328	0.79232	30.7913
329	0.79253	30.7916
330	0.79285	30.7919
331	0.79312	30.7922
332	0.79341	30.7925
333	0.79378	30.7929
334	0.79402	30.7932
335	0.79432	30.7935
336	0.7945	30.7936
337	0.79477	30.794
338	0.7951	30.7943
339	0.79536	30.7946
340	0.79565	30.7949
341	0.79584	30.7951
342	0.79607	30.7953
343	0.79632	30.7956
344	0.79657	30.7959
345	0.79675	30.7961
346	0.79698	30.7963
347	0.79717	30.7965
348	0.79747	30.7968
349	0.79778	30.7971
350	0.79796	30.7973
351	0.79823	30.7976
352	0.79848	30.7979
353	0.79874	30.7982
354	0.79896	30.7984
355	0.79923	30.7987
356	0.7996	30.7991
357	0.79992	30.7994
358	0.80011	30.7996
359	0.80032	30.7999
360	0.80058	30.8002
361	0.80091	30.8005
362	0.80116	30.8008
363	0.80139	30.801
364	0.80168	30.8013
365	0.80194	30.8016
366	0.8022	30.8018
367	0.80245	30.8021
368	0.80265	30.8023
369	0.8029	30.8025
370	0.80306	30.8027
371	0.8033	30.8029
372	0.80357	30.8032
373	0.80384	30.8035
374	0.8041	30.8037
375	0.80433	30.804
376	0.80452	30.8042
377	0.8047	30.8043
378	0.80492	30.8046
379	0.80527	30.8049
380	0.80547	30.8051
381	0.80573	30.8054
382	0.80601	30.8057
383	0.80632	30.806
384	0.80656	30.8062
385	0.8068	30.8065
386	0.80712	30.8068
387	0.80739	30.8071
388	0.80757	30.8073
389	0.80785	30.8075
390	0.8081	30.8078
391	0.80839	30.8081
392	0.80872	30.8085
393	0.80898	30.8087
394	0.80926	30.809
395	0.80947	30.8092
396	0.8097	30.8094
397	0.80995	30.8097
398	0.81017	30.8099
399	0.81041	30.8102
400	0.81062	30.8104
401	0.8108	30.8106
402	0.81103	30.8108
403	0.81123	30.811
404	0.81156	30.8114
405	0.81177	30.8116
406	0.81203	30.8118
407	0.81229	30.8121
408	0.81258	30.8124
409	0.81276	30.8126
410	0.81295	30.8128
411	0.81322	30.8131
412	0.81355	30.8134
413	0.81373	30.8136
414	0.81399	30.8138
415	0.81439	30.8143
416	0.81467	30.8146
417	0.81495	30.8148
418	0.81523	30.8151
419	0.81554	30.8154
420	0.81574	30.8157
421	0.81597	30.8159
422	0.81621	30.8161
423	0.81646	30.8164
424	0.8167	30.8166
425	0.81692	30.8168
426	0.81729	30.8172
427	0.81753	30.8174
428	0.81773	30.8176
429	0.81791	30.8178
430	0.81817	30.8181
431	0.81846	30.8184
432	0.81869	30.8186
433	0.81898	30.8189
434	0.81929	30.8192
435	0.81955	30.8195
436	0.81987	30.8198
437	0.82004	30.82
438	0.82029	30.8202
439	0.82054	30.8205
440	0.8208	30.8208
441	0.82107	30.821
442	0.82125	30.8212
443	0.82151	30.8215
444	0.82174	30.8217
445	0.8219	30.8219
446	0.82203	30.822
447	0.82224	30.8222
448	0.82245	30.8224
449	0.82264	30.8226
450	0.82287	30.8228
451	0.82312	30.8231
452	0.82331	30.8233
453	0.82348	30.8234
454	0.82366	30.8236
455	0.82384	30.8238
456	0.82407	30.824
457	0.82434	30.8243
458	0.82458	30.8245
459	0.82477	30.8247
460	0.82502	30.825
461	0.8252	30.8252
462	0.82546	30.8254
463	0.8257	30.8257
464	0.82593	30.8259
465	0.82617	30.8261
466	0.82635	30.8263
467	0.82662	30.8266
468	0.82682	30.8268
469	0.82709	30.827
470	0.82726	30.8272
471	0.82761	30.8276
472	0.82789	30.8279
473	0.82806	30.828
474	0.82827	30.8282
475	0.82852	30.8285
476	0.82869	30.8287
477	0.82897	30.8289
478	0.82911	30.8291
479	0.82932	30.8293
480	0.82953	30.8295
481	0.82979	30.8298
482	0.82999	30.83
483	0.83021	30.8302
484	0.83041	30.8304
485	0.83067	30.8306
486	0.83077	30.8307
487	0.83097	30.831
488	0.83112	30.8311
489	0.83126	30.8312
490	0.8315	30.8315
491	0.83175	30.8317
492	0.83198	30.832
493	0.83215	30.8321
494	0.83235	30.8323
495	0.83261	30.8326
496	0.8328	30.8328
497	0.83307	30.8331
498	0.83327	30.8332
499	0.83346	30.8334
500	0.83364	30.8336
501	0.83382	30.8338
