# Generation	ratio_optimal	mean_fitness
0	0.03086	19.5846
1	0.03478	20.0892
2	0.03663	20.3649
3	0.03714	20.5478
4	0.03821	20.6428
5	0.03737	20.7377
6	0.03878	20.7605
7	0.03776	20.7948
8	0.03901	20.8293
9	0.03957	20.8592
10	0.04002	20.8838
11	0.03883	20.8743
12	0.03789	20.8711
13	0.03803	20.8874
14	0.03903	20.8783
15	0.03939	20.8566
16	0.03872	20.8766
17	0.04011	20.8987
18	0.03938	20.9331
19	0.03935	20.9616
20	0.03933	20.951
21	0.03986	20.9833
22	0.03953	20.9493
23	0.03878	20.9471
24	0.04	20.9431
25	0.03988	20.9481
26	0.03936	20.9572
27	0.04023	20.9845
28	0.03918	20.9809
29	0.04012	21.0186
30	0.04012	21.0408
31	0.03961	21.023
32	0.0406	21.0413
33	0.03995	21.0112
34	0.041	21.041
35	0.04117	21.0367
36	0.04095	21.0127
37	0.04006	21.0605
38	0.04048	21.0502
39	0.03896	21.0253
40	0.04043	21.0436
41	0.04015	21.0816
42	0.04011	21.0853
43	0.04059	21.1271
44	0.04022	21.1369
45	0.04098	21.1488
46	0.04127	21.1337
47	0.04054	21.1402
48	0.04093	21.1258
49	0.04075	21.1409
50	0.04179	21.121
51	0.04105	21.1233
52	0.04135	21.1556
53	0.04161	21.1911
54	0.04163	21.1583
55	0.04114	21.1323
56	0.04035	21.1431
57	0.04019	21.143
58	0.04001	21.1177
59	0.04191	21.1591
60	0.04085	21.2108
61	0.04143	21.2218
62	0.04185	21.2491
63	0.04199	21.238
64	0.04214	21.2212
65	0.04312	21.2586
66	0.04176	21.2577
67	0.04172	21.2975
68	0.04193	21.2894
69	0.04145	21.3241
70	0.04219	21.314
71	0.04245	21.3094
72	0.04134	21.3419
73	0.0425	21.3217
74	0.04283	21.3389
75	0.04247	21.339
76	0.04211	21.3664
77	0.04262	21.3255
78	0.0421	21.364
79	0.04219	21.392
80	0.04238	21.4028
81	0.04157	21.3979
82	0.04351	21.4175
83	0.04238	21.4017
84	0.04188	21.3823
85	0.04233	21.4377
