# Generation	ratio_optimal	mean_fitness
0	0.03122	22.9835
1	0.03451	23.1981
2	0.03466	23.2859
3	0.03538	23.344
4	0.03723	23.3772
5	0.03669	23.3895
6	0.03695	23.4131
7	0.03699	23.4431
8	0.03692	23.4383
9	0.03659	23.4438
10	0.03798	23.4401
11	0.03678	23.4314
12	0.0359	23.4345
13	0.03628	23.4337
14	0.03745	23.4431
15	0.03691	23.4539
16	0.03726	23.442
17	0.03795	23.4624
18	0.03764	23.4648
19	0.03697	23.462
20	0.03619	23.4675
21	0.0369	23.4721
22	0.03744	23.501
23	0.03769	23.5006
24	0.0364	23.4831
25	0.03726	23.5024
26	0.03751	23.4944
27	0.03745	23.5014
28	0.03767	23.5084
29	0.03788	23.5006
30	0.03727	23.5269
31	0.03773	23.5117
32	0.03775	23.5247
33	0.03764	23.503
34	0.03746	23.5177
35	0.03837	23.5153
36	0.03852	23.5062
37	0.0368	23.4935
38	0.03723	23.5092
39	0.03795	23.504
40	0.03692	23.4803
41	0.03749	23.5052
42	0.03775	23.5008
43	0.03754	23.4877
44	0.03672	23.5159
45	0.0372	23.532
46	0.03703	23.5243
47	0.03773	23.5382
48	0.03774	23.5507
49	0.03774	23.5626
50	0.03828	23.5711
51	0.03802	23.5574
52	0.03807	23.5573
53	0.03842	23.5606
54	0.03768	23.538
55	0.03779	23.5499
56	0.03847	23.5542
57	0.03941	23.5862
58	0.03871	23.5818
59	0.03878	23.591
60	0.03777	23.5882
61	0.03791	23.572
62	0.03947	23.5875
63	0.03807	23.5835
64	0.03847	23.5645
65	0.03864	23.5776
66	0.03813	23.5959
67	0.03933	23.5896
68	0.03984	23.606
69	0.03963	23.6099
70	0.0393	23.5877
71	0.03895	23.5986
72	0.03989	23.6114
73	0.03856	23.5931
74	0.03904	23.6163
75	0.03944	23.6187
76	0.03848	23.6284
77	0.03884	23.6104
78	0.03893	23.627
79	0.03906	23.6466
80	0.04014	23.6281
81	0.04004	23.6285
