# Generation	ratio_optimal	mean_fitness
0	0.03083	15.5213
1	0.03633	16.6408
2	0.03834	16.9073
3	0.04044	17.1004
4	0.04052	17.1054
5	0.04151	17.1336
6	0.04152	17.191
7	0.04191	17.2242
8	0.04126	17.2316
9	0.04162	17.2098
10	0.04223	17.2193
11	0.04333	17.3049
12	0.04244	17.312
13	0.04256	17.2689
14	0.04301	17.2742
15	0.04225	17.2839
16	0.04237	17.3163
17	0.0437	17.3085
18	0.04184	17.3111
19	0.0433	17.3378
20	0.0441	17.3313
21	0.0433	17.3438
22	0.04311	17.3893
23	0.04333	17.4195
24	0.04413	17.3898
25	0.04343	17.384
26	0.04447	17.4071
27	0.04386	17.4027
28	0.04377	17.4447
29	0.04385	17.4678
30	0.04243	17.4347
31	0.04281	17.4896
32	0.04277	17.5129
33	0.04395	17.5085
34	0.04344	17.5309
35	0.04314	17.4774
36	0.0433	17.4911
37	0.04374	17.5292
38	0.0436	17.5428
39	0.04476	17.5453
40	0.04436	17.5336
41	0.04526	17.537
42	0.04402	17.5559
43	0.04491	17.6071
44	0.04535	17.5953
45	0.04463	17.6139
46	0.04329	17.5975
47	0.04533	17.6116
48	0.04376	17.5939
49	0.0439	17.657
50	0.0455	17.6904
51	0.04552	17.7109
52	0.04484	17.6938
53	0.04504	17.6654
54	0.04539	17.7349
55	0.0447	17.7119
56	0.04542	17.6837
57	0.04496	17.685
58	0.04536	17.6965
59	0.0453	17.736
60	0.04627	17.7593
61	0.04636	17.72
62	0.0455	17.7469
63	0.04582	17.7545
64	0.04536	17.7804
65	0.04665	17.8529
66	0.04668	17.8596
67	0.04664	17.8457
68	0.04807	17.9073
69	0.04765	17.8933
70	0.04779	17.9072
71	0.04703	17.8913
72	0.04658	17.88
73	0.04699	17.8955
74	0.04831	17.8853
75	0.04636	17.9431
76	0.0474	17.929
77	0.04845	17.9568
78	0.04754	17.9446
79	0.04755	17.9705
80	0.04668	17.9459
81	0.04716	18.0108
82	0.04688	17.9807
83	0.04726	18.0179
84	0.04787	18.0184
85	0.04909	17.9917
86	0.04795	18.0017
87	0.0493	18.0375
88	0.04959	18.0813
89	0.04826	18.056
90	0.0489	18.1193
91	0.04828	18.1382
92	0.04902	18.1254
93	0.04816	18.1561
94	0.04922	18.1446
95	0.0494	18.1779
96	0.04907	18.1946
97	0.04927	18.2227
98	0.04898	18.2619
99	0.04883	18.2075
100	0.04902	18.2182
101	0.04978	18.2374
102	0.05017	18.2464
103	0.04898	18.1865
104	0.04943	18.2826
105	0.05056	18.3437
106	0.05006	18.3434
107	0.05084	18.3283
108	0.04928	18.3227
109	0.0504	18.3461
110	0.04971	18.3874
111	0.05053	18.3356
112	0.05045	18.3972
113	0.05155	18.4357
114	0.05117	18.4378
115	0.05162	18.4841
116	0.05371	18.4926
117	0.05237	18.4941
118	0.05176	18.509
119	0.05268	18.5484
120	0.05223	18.5567
121	0.05171	18.5211
122	0.05081	18.5121
123	0.05156	18.5232
124	0.05262	18.5537
125	0.05108	18.5558
126	0.05143	18.5472
127	0.0518	18.5663
128	0.05294	18.6269
129	0.05297	18.7091
130	0.05292	18.7074
131	0.05322	18.6871
132	0.05381	18.6559
133	0.05301	18.6848
134	0.05409	18.724
135	0.05485	18.75
136	0.05517	18.8006
137	0.05441	18.8039
138	0.05469	18.8153
139	0.05546	18.8758
140	0.05475	18.848
141	0.05502	18.8701
142	0.05449	18.8897
143	0.0532	18.8242
144	0.05416	18.9085
145	0.05413	18.9178
146	0.0544	18.9249
147	0.05482	18.9148
148	0.05536	18.922
149	0.05595	18.9675
150	0.05581	18.934
151	0.05643	18.9698
152	0.05492	19.0068
153	0.05643	19.0106
154	0.05506	19.0287
155	0.05653	19.0648
156	0.05726	19.1139
157	0.05709	19.1178
158	0.05705	19.1485
159	0.05688	19.177
160	0.05809	19.1785
161	0.05793	19.1532
162	0.05839	19.1435
163	0.05725	19.1645
164	0.05796	19.1826
165	0.05688	19.1892
166	0.05749	19.2447
167	0.05844	19.2827
168	0.05742	19.2907
169	0.05873	19.3422
170	0.05828	19.3173
171	0.05811	19.3282
172	0.06	19.3049
173	0.05969	19.3207
174	0.05854	19.3442
175	0.05955	19.3983
176	0.05938	19.4048
177	0.05895	19.4198
178	0.0605	19.4341
179	0.0586	19.4438
180	0.05975	19.463
181	0.05928	19.4768
182	0.06056	19.4844
183	0.06016	19.526
184	0.05973	19.509
185	0.06081	19.5891
186	0.05981	19.5972
187	0.06071	19.6236
188	0.06043	19.5859
189	0.06045	19.6243
190	0.06191	19.6504
191	0.06129	19.6487
192	0.06219	19.7092
193	0.06365	19.7179
194	0.06267	19.7239
195	0.06337	19.7904
196	0.06335	19.8135
197	0.06395	19.8168
198	0.06161	19.8396
199	0.06444	19.8943
200	0.06327	19.8789
201	0.06371	19.9199
202	0.06298	19.9354
203	0.06535	19.9253
204	0.06416	19.9957
205	0.06433	20.0257
