# Generation	ratio_optimal	mean_fitness
0	0.03139	22.9808
1	0.03511	23.3762
2	0.03593	23.4003
3	0.03536	23.4185
4	0.03564	23.4114
5	0.03659	23.4422
6	0.03623	23.4361
7	0.03654	23.4257
8	0.03652	23.4702
9	0.0366	23.4603
10	0.03642	23.4577
11	0.0371	23.4501
12	0.03682	23.4688
13	0.0364	23.4492
14	0.03668	23.4579
15	0.03689	23.469
16	0.0361	23.464
17	0.03614	23.437
18	0.03718	23.4801
19	0.03709	23.4658
20	0.0378	23.4762
21	0.03743	23.4663
22	0.03769	23.4625
23	0.03694	23.458
24	0.0362	23.4739
25	0.03727	23.4701
26	0.037	23.4804
27	0.0379	23.4767
28	0.0384	23.5088
29	0.03693	23.5053
30	0.03794	23.5218
31	0.03763	23.4798
32	0.0378	23.5209
33	0.03802	23.514
34	0.03724	23.4831
35	0.03794	23.505
36	0.03697	23.4704
37	0.03769	23.5099
38	0.03734	23.4732
39	0.0387	23.535
40	0.03797	23.5253
41	0.03735	23.5587
42	0.03779	23.5248
43	0.03822	23.5549
44	0.03888	23.5258
45	0.03865	23.5404
46	0.0382	23.5246
47	0.03873	23.5256
48	0.03822	23.5228
49	0.03838	23.5668
50	0.03817	23.5479
51	0.03783	23.57
52	0.03745	23.5486
53	0.03858	23.5652
54	0.03748	23.5522
55	0.03801	23.5636
56	0.03763	23.5453
57	0.03801	23.5766
58	0.03774	23.5889
59	0.03964	23.57
60	0.03844	23.5757
61	0.0382	23.5776
62	0.03782	23.5836
63	0.03897	23.5644
64	0.03795	23.5759
65	0.03897	23.5722
66	0.03834	23.6115
67	0.03876	23.5968
68	0.03909	23.5949
69	0.03884	23.5834
70	0.03853	23.5942
71	0.03883	23.6182
72	0.03935	23.6099
73	0.03884	23.6319
74	0.04025	23.6176
75	0.03985	23.5973
76	0.03901	23.603
77	0.03905	23.6146
78	0.03828	23.6109
79	0.03925	23.6368
80	0.03802	23.5907
81	0.03976	23.624
82	0.03898	23.6306
83	0.03937	23.6306
84	0.03875	23.6393
85	0.0384	23.6342
86	0.03983	23.6505
87	0.04053	23.679
88	0.03955	23.6575
89	0.03939	23.668
90	0.04059	23.6746
91	0.03979	23.672
92	0.03898	23.6738
93	0.03986	23.67
94	0.03986	23.6873
95	0.03982	23.6742
96	0.03969	23.6944
97	0.03966	23.7073
98	0.03868	23.6978
99	0.04063	23.7081
100	0.04081	23.7014
101	0.04119	23.6964
102	0.04035	23.7221
103	0.04107	23.7328
104	0.04045	23.7226
105	0.04002	23.7358
106	0.0406	23.7364
107	0.04039	23.7413
108	0.04061	23.7356
109	0.04151	23.7656
110	0.041	23.734
111	0.04042	23.7199
112	0.04109	23.7477
113	0.04114	23.764
114	0.04104	23.7841
115	0.04139	23.7617
116	0.04054	23.7456
117	0.03963	23.7715
118	0.04131	23.757
119	0.04038	23.7464
120	0.03997	23.7565
121	0.04033	23.7493
122	0.0416	23.767
123	0.0406	23.773
124	0.04145	23.8094
125	0.04156	23.7919
126	0.04136	23.8203
